uniqueid,zettaicode,locationna,wancode,prefectuei,watercode,renban,nendo,survey_ym,surveyyear,surveymont,surveyday,saisuipoin,saisuidept,latitude,longitude,dataflag,scale,wtemp,depth,region,year_folder,is_near_anoxic,Season,do_2,salt2,ph2,toc2,tn2,tp2,cod2,nh4n2,no2n2,no3n2,po4p2,chloroph_1,feiochin2,doc2
0000002623,00000122,千葉県2,01,12,100,2,1982,1982-09-01,1982,11,8,2,5.0,35.64722222,139.99,1,-1,19.2,6.0,Tokyo,1982,False,Other,1.8,31.27,7.7,1.9,0.846,0.114,2.8,0.312,0.018,0.229,0.098,3.8,1.7,0.0
0000002624,00000122,千葉県2,01,12,100,2,1982,1982-12-01,1983,2,7,2,5.0,35.64722222,139.99,1,-1,9.0,6.0,Tokyo,1982,False,Winter,9.6,31.67,8.1,1.9,1.24,0.073,3.3,0.547,0.063,0.251,0.055,5.5,3.0,0.0
0000004101,00000122,千葉県2,01,12,100,2,1983,1983-03-01,1983,5,9,2,5.0,35.64722222,139.99,1,-1,17.3,6.0,Tokyo,1983,False,Other,7.6,29.88,8.2,0.0,0.985,0.064,4.3,0.173,0.044,0.237,0.033,10.0,6.8,0.0
0000004102,00000122,千葉県2,01,12,100,2,1983,1983-06-01,1983,8,1,2,5.0,35.64722222,139.99,1,-1,26.0,6.0,Tokyo,1983,False,Summer,6.6,26.16,8.8,4.9,1.23,0.09,6.2,0.034,0.028,0.087,0.038,37.4,11.8,0.0
0000004103,00000122,千葉県2,01,12,100,2,1983,1983-09-01,1983,11,8,2,5.0,35.64722222,139.99,1,-1,16.8,6.0,Tokyo,1983,False,Other,6.8,31.89,7.8,0.9,0.884,0.087,1.8,0.195,0.065,0.241,0.072,0.4,0.4,0.0
0000004104,00000122,千葉県2,01,12,100,2,1983,1983-12-01,1984,2,6,2,5.0,35.64722222,139.99,1,-1,5.9,6.0,Tokyo,1983,False,Winter,11.6,31.56,8.3,2.9,1.09,0.074,3.7,0.409,0.056,0.28,0.046,17.2,7.9,0.0
0000005579,00000122,千葉県2,01,12,100,2,1984,1984-03-01,1984,5,7,2,5.0,35.64722222,139.99,1,-1,16.4,6.0,Tokyo,1984,False,Other,10.3,30.44,8.6,7.9,1.98,0.16,8.6,0.087,0.052,0.165,0.072,84.6,22.6,0.0
0000005580,00000122,千葉県2,01,12,100,2,1984,1984-06-01,1984,8,6,2,5.0,35.64722222,139.99,1,-1,28.4,6.0,Tokyo,1984,False,Summer,8.1,25.35,8.7,4.8,1.66,0.144,8.8,0.079,0.045,0.116,0.064,78.4,23.2,0.0
0000005581,00000122,千葉県2,01,12,100,2,1984,1984-09-01,1984,11,5,2,5.0,35.64722222,139.99,1,-1,16.7,6.0,Tokyo,1984,False,Other,8.5,31.78,8.1,2.8,1.08,0.122,5.1,0.12,0.055,0.208,0.079,22.5,5.5,0.0
0000005582,00000122,千葉県2,01,12,100,2,1984,1984-12-01,1985,2,4,2,5.0,35.64722222,139.99,1,-1,7.5,6.0,Tokyo,1984,False,Winter,12.3,31.85,8.3,2.4,1.21,0.052,3.7,0.276,0.035,0.286,0.037,20.9,3.6,0.0
0000007057,00000122,千葉県2,01,12,100,2,1985,1985-03-01,1985,5,7,2,5.0,35.64722222,139.99,1,-1,18.3,6.0,Tokyo,1985,False,Other,6.3,27.48,7.9,3.2,1.84,0.117,3.6,0.409,0.078,0.557,0.084,7.1,2.5,0.0
0000007058,00000122,千葉県2,01,12,100,2,1985,1985-06-01,1985,8,5,2,5.0,35.64722222,139.99,1,-1,28.3,6.0,Tokyo,1985,False,Summer,10.1,22.82,8.8,6.4,1.67,0.119,9.4,0.037,0.075,0.289,0.045,66.8,27.1,0.0
0000007059,00000122,千葉県2,01,12,100,2,1985,1985-09-01,1985,11,5,2,5.0,35.64722222,139.99,1,-1,17.7,6.0,Tokyo,1985,False,Other,7.8,31.94,8.1,3.4,1.11,0.109,3.2,0.2,0.027,0.254,0.073,19.4,9.5,0.0
0000007060,00000122,千葉県2,01,12,100,2,1985,1985-12-01,1986,2,4,2,5.0,35.64722222,139.99,1,-1,7.1,6.0,Tokyo,1985,False,Winter,12.3,31.99,8.5,4.0,1.31,0.073,3.6,0.18,0.06,0.335,0.025,26.1,15.0,0.0
0000008537,00000122,千葉県2,01,12,100,2,1986,1986-03-01,1986,5,6,2,5.0,35.64722222,139.99,1,-1,15.6,6.0,Tokyo,1986,False,Other,3.6,30.78,8.0,2.8,1.47,0.092,3.8,0.45,0.047,0.314,0.046,7.4,2.8,0.0
0000008538,00000122,千葉県2,01,12,100,2,1986,1986-06-01,1986,8,6,2,5.0,35.64722222,139.99,1,-1,23.5,6.0,Tokyo,1986,False,Summer,9.4,26.18,8.1,3.3,1.27,0.121,4.9,0.247,0.027,0.296,0.091,5.4,3.0,0.0
0000008539,00000122,千葉県2,01,12,100,2,1986,1986-09-01,1986,11,4,2,5.0,35.64722222,139.99,1,-1,16.8,6.0,Tokyo,1986,False,Other,6.5,31.33,8.0,2.5,1.1,0.118,2.5,0.291,0.085,0.272,0.084,9.6,5.0,0.0
0000008540,00000122,千葉県2,01,12,100,2,1986,1986-12-01,1987,2,3,2,5.0,35.64722222,139.99,1,-1,7.2,6.0,Tokyo,1986,False,Winter,10.4,31.33,8.1,2.3,1.54,0.067,3.4,0.463,0.074,0.393,0.046,13.0,10.9,0.0
0000010015,00000122,千葉県2,01,12,100,2,1987,1987-03-01,1987,5,11,2,5.0,35.64722222,139.99,1,-1,18.9,6.0,Tokyo,1987,False,Other,8.5,30.22,8.5,6.2,1.89,0.137,7.6,0.092,0.055,0.25,0.049,85.5,5.8,0.0
0000010016,00000122,千葉県2,01,12,100,2,1987,1987-06-01,1987,8,3,2,5.0,35.64722222,139.99,1,-1,22.0,6.0,Tokyo,1987,False,Summer,0.1,30.46,8.2,3.9,1.14,0.175,4.1,0.399,0.015,0.026,0.135,27.8,4.4,0.0
0000010017,00000122,千葉県2,01,12,100,2,1987,1987-09-01,1987,11,9,2,4.0,35.64722222,139.99,1,-1,17.0,5.0,Tokyo,1987,False,Other,6.6,30.64,8.0,2.1,1.27,0.119,2.4,0.361,0.041,0.419,0.1,6.6,1.4,0.0
0000010018,00000122,千葉県2,01,12,100,2,1987,1987-12-01,1988,2,1,2,5.0,35.64722222,139.99,1,-1,12.0,6.0,Tokyo,1987,False,Winter,9.8,31.63,8.2,1.8,1.41,0.078,3.3,0.433,0.061,0.425,0.051,24.8,0.9,0.0
0000011491,00000122,千葉県2,01,12,100,2,1988,1988-03-01,1988,5,9,2,5.0,35.64722222,139.99,1,-1,14.3,6.0,Tokyo,1988,False,Other,2.3,32.32,7.8,0.0,1.13,0.142,2.1,0.586,0.036,0.213,0.129,1.5,1.5,0.0
0000011492,00000122,千葉県2,01,12,100,2,1988,1988-06-01,1988,8,1,2,4.0,35.64722222,139.99,1,-1,21.3,5.0,Tokyo,1988,False,Summer,10.3,32.19,8.1,0.0,0.833,0.136,3.9,0.03,0.035,0.185,0.094,22.7,5.3,0.0
0000011493,00000122,千葉県2,01,12,100,2,1988,1988-09-01,1988,11,7,2,5.0,35.64722222,139.99,1,-1,16.7,6.0,Tokyo,1988,False,Other,8.4,31.25,8.1,0.0,1.15,0.097,3.2,0.39,0.046,0.356,0.072,3.8,6.4,0.0
0000011494,00000122,千葉県2,01,12,100,2,1988,1988-12-01,1989,2,6,2,5.0,35.64722222,139.99,1,-1,8.2,6.0,Tokyo,1988,False,Winter,10.2,31.61,8.1,0.0,1.33,0.072,3.0,0.606,0.082,0.348,0.049,6.3,1.6,0.0
0000012965,00000122,千葉県2,01,12,100,2,1989,1989-03-01,1989,5,8,2,4.0,35.64722222,139.99,1,-1,15.0,5.0,Tokyo,1989,False,Other,5.6,30.88,8.3,0.0,1.05,0.117,4.5,0.337,0.043,0.208,0.064,9.0,20.6,0.0
0000012966,00000122,千葉県2,01,12,100,2,1989,1989-06-01,1989,8,8,2,4.0,35.64722222,139.99,1,-1,23.4,5.0,Tokyo,1989,False,Summer,6.0,23.83,7.9,0.0,1.36,0.113,2.8,0.411,0.05,0.563,0.08,5.3,5.6,0.0
0000012967,00000122,千葉県2,01,12,100,2,1989,1989-09-01,1989,11,6,2,4.0,35.64722222,139.99,1,-1,18.2,5.0,Tokyo,1989,False,Other,10.3,30.1,8.4,0.0,1.08,0.089,5.1,0.062,0.04,0.359,0.047,40.2,10.2,0.0
0000012968,00000122,千葉県2,01,12,100,2,1989,1989-12-01,1990,2,5,2,5.0,35.64722222,139.99,1,-1,7.4,6.0,Tokyo,1989,False,Winter,10.4,31.59,8.1,0.0,1.29,0.082,3.3,0.441,0.067,0.477,0.043,15.7,12.3,0.0
0000014445,00000122,千葉県2,01,12,100,2,1990,1990-03-01,1990,5,8,2,4.0,35.64722222,139.99,1,-1,16.7,5.0,Tokyo,1990,False,Other,9.4,30.28,8.1,0.0,1.38,0.085,3.0,0.29,0.065,0.49,0.045,12.8,6.3,0.0
0000014446,00000122,千葉県2,01,12,100,2,1990,1990-06-01,1990,8,7,2,4.0,35.64722222,139.99,1,-1,22.4,5.0,Tokyo,1990,False,Summer,0.7,32.57,8.0,0.0,0.59,0.166,3.4,0.21,0.013,0.04,0.114,39.2,4.8,0.0
0000014447,00000122,千葉県2,01,12,100,2,1990,1990-09-01,1990,11,6,2,4.0,35.64722222,139.99,1,-1,19.5,5.0,Tokyo,1990,False,Other,6.2,31.1,8.0,0.0,0.86,0.084,2.0,0.18,0.029,0.37,0.057,6.0,1.0,0.0
0000014448,00000122,千葉県2,01,12,100,2,1990,1990-12-01,1991,2,6,2,4.0,35.64722222,139.99,1,-1,8.6,5.0,Tokyo,1990,False,Winter,12.4,31.79,8.5,0.0,1.16,0.07,5.1,0.06,0.057,0.33,0.01,66.8,15.6,0.0
0000015925,00000122,千葉県2,01,12,100,2,1991,1991-03-01,1991,5,7,2,4.0,35.64722222,139.99,1,-1,17.1,5.0,Tokyo,1991,False,Other,14.6,30.69,8.5,0.0,0.96,0.081,5.5,0.05,0.054,0.27,0.025,20.9,9.9,0.0
0000015926,00000122,千葉県2,01,12,100,2,1991,1991-06-01,1991,8,6,2,5.0,35.64722222,139.99,1,-1,20.5,6.0,Tokyo,1991,False,Summer,0.0,31.24,8.2,0.0,0.88,0.153,2.2,0.41,0.009,0.01,0.119,10.6,2.7,0.0
0000015927,00000122,千葉県2,01,12,100,2,1991,1991-09-01,1991,11,5,2,5.0,35.64722222,139.99,1,-1,19.5,6.0,Tokyo,1991,False,Other,5.1,31.57,7.9,0.0,0.87,0.086,2.0,0.07,0.035,0.42,0.054,12.5,5.3,0.0
0000015928,00000122,千葉県2,01,12,100,2,1991,1991-12-01,1992,2,5,2,5.0,35.64722222,139.99,1,-1,9.2,6.0,Tokyo,1991,False,Winter,9.0,31.33,8.1,0.0,1.06,0.076,2.1,0.35,0.061,0.39,0.038,9.6,5.3,0.0
0000017405,00000122,千葉県2,01,12,100,2,1992,1992-03-01,1992,5,12,2,5.0,35.64722222,139.99,1,-1,16.5,6.0,Tokyo,1992,False,Other,7.6,30.69,8.0,0.0,0.89,0.074,2.4,0.26,0.042,0.32,0.044,6.0,2.9,0.0
0000017406,00000122,千葉県2,01,12,100,2,1992,1992-06-01,1992,8,4,2,4.0,35.64722222,139.99,1,-1,21.4,5.0,Tokyo,1992,False,Summer,3.3,31.43,8.0,0.0,0.81,0.131,2.2,0.42,0.004,0.05,0.106,10.6,3.7,0.0
0000017407,00000122,千葉県2,01,12,100,2,1992,1992-09-01,1992,11,5,2,4.0,35.64722222,139.99,1,-1,17.7,5.0,Tokyo,1992,False,Other,8.4,30.76,8.1,0.0,0.87,0.087,3.0,0.16,0.046,0.31,0.04,8.5,4.3,0.0
0000017408,00000122,千葉県2,01,12,100,2,1992,1992-12-01,1993,2,4,2,5.0,35.64722222,139.99,1,-1,9.1,6.0,Tokyo,1992,False,Winter,11.4,30.94,8.2,0.0,1.35,0.088,3.0,0.41,0.088,0.46,0.043,14.8,7.6,0.0
0000018885,00000122,千葉県2,01,12,100,2,1993,1993-03-01,1993,5,11,2,4.0,35.64722222,139.99,1,-1,17.8,5.0,Tokyo,1993,False,Other,3.9,32.33,7.9,0.0,1.04,0.122,3.0,0.45,0.064,0.23,0.106,6.0,2.0,0.0
0000018886,00000122,千葉県2,01,12,100,2,1993,1993-06-01,1993,8,4,2,4.0,35.64722222,139.99,1,-1,20.4,5.0,Tokyo,1993,False,Summer,3.1,29.03,7.8,0.0,0.96,0.149,2.1,0.46,0.036,0.22,0.115,8.0,5.6,0.0
0000018887,00000122,千葉県2,01,12,100,2,1993,1993-09-01,1993,11,26,2,4.0,35.64722222,139.99,1,-1,14.3,5.0,Tokyo,1993,False,Other,8.1,31.16,8.0,0.0,1.01,0.08,2.2,0.2,0.061,0.47,0.053,6.4,2.1,0.0
0000018888,00000122,千葉県2,01,12,100,2,1993,1993-12-01,1994,2,9,2,4.0,35.64722222,139.99,1,-1,9.1,5.0,Tokyo,1993,False,Winter,13.9,31.4,8.3,0.0,1.11,0.061,4.0,0.19,0.063,0.44,0.006,31.4,7.3,0.0
0000020365,00000122,千葉県2,01,12,100,2,1994,1994-03-01,1994,5,11,2,3.0,35.64722222,139.99,1,-1,19.5,4.0,Tokyo,1994,False,Other,8.2,29.52,8.4,0.0,1.47,0.178,8.5,0.12,0.051,0.26,0.044,56.0,4.9,0.0
0000020366,00000122,千葉県2,01,12,100,2,1994,1994-06-01,1994,8,3,2,4.0,35.64722222,139.99,1,-1,27.7,5.0,Tokyo,1994,False,Summer,4.6,28.59,8.3,0.0,1.06,0.141,5.3,0.17,0.037,0.1,0.065,31.5,6.9,0.0
0000020367,00000122,千葉県2,01,12,100,2,1994,1994-09-01,1994,11,22,2,4.0,35.64722222,139.99,1,-1,15.9,5.0,Tokyo,1994,False,Other,6.9,31.78,8.0,0.0,0.96,0.087,2.0,0.27,0.076,0.36,0.064,3.6,0.9,0.0
0000020368,00000122,千葉県2,01,12,100,2,1994,1994-12-01,1995,2,8,2,4.0,35.64722222,139.99,1,-1,8.3,5.0,Tokyo,1994,False,Winter,11.2,31.96,8.3,0.0,1.31,0.08,3.9,0.27,0.064,0.37,0.014,11.8,5.0,0.0
0000021845,00000122,千葉県2,01,12,100,2,1995,1995-03-01,1995,5,10,2,4.0,35.64722222,139.99,1,-1,18.4,5.0,Tokyo,1995,False,Other,6.7,28.8,8.3,0.0,1.39,0.129,6.0,0.24,0.065,0.35,0.02,57.4,7.0,0.0
0000021846,00000122,千葉県2,01,12,100,2,1995,1995-06-01,1995,8,2,2,4.0,35.64722222,139.99,1,-1,27.5,5.0,Tokyo,1995,False,Summer,2.1,25.02,8.3,0.0,1.22,0.123,4.9,0.23,0.038,0.2,0.035,31.2,13.3,0.0
0000021847,00000122,千葉県2,01,12,100,2,1995,1995-09-01,1995,11,8,2,4.0,35.64722222,139.99,1,-1,17.1,5.0,Tokyo,1995,False,Other,7.0,31.29,7.9,0.0,1.18,0.16,3.2,0.37,0.049,0.32,0.112,7.7,6.5,0.0
0000021848,00000122,千葉県2,01,12,100,2,1995,1995-12-01,1996,2,6,2,4.0,35.64722222,139.99,1,-1,6.8,5.0,Tokyo,1995,False,Winter,11.4,30.98,8.2,0.0,1.68,0.106,4.1,0.41,0.106,0.49,0.044,13.2,4.6,0.0
0000023301,00000122,千葉県2,01,12,100,2,1996,1996-03-01,1996,5,9,2,4.0,35.64722222,139.99,1,-1,15.7,5.0,Tokyo,1996,False,Other,8.7,30.37,8.3,0.0,1.33,0.11,4.6,0.36,0.053,0.33,0.035,20.1,6.9,0.0
0000023302,00000122,千葉県2,01,12,100,2,1996,1996-06-01,1996,8,7,2,5.0,35.64722222,139.99,1,-1,22.8,6.0,Tokyo,1996,False,Summer,0.7,29.09,8.2,0.0,0.84,0.143,5.0,0.21,0.026,0.1,0.076,16.0,4.5,0.0
0000023303,00000122,千葉県2,01,12,100,2,1996,1996-09-01,1996,11,6,2,5.0,35.64722222,139.99,1,-1,18.7,6.0,Tokyo,1996,False,Other,6.6,31.74,8.0,0.0,0.78,0.089,2.2,0.21,0.029,0.28,0.07,4.9,1.5,0.0
0000023304,00000122,千葉県2,01,12,100,2,1996,1996-12-01,1997,2,14,2,5.0,35.64722222,139.99,1,-1,8.8,6.0,Tokyo,1996,False,Winter,10.9,31.73,8.3,0.0,1.19,0.077,3.5,0.24,0.058,0.39,0.014,15.2,8.8,0.0
0000024781,00000122,千葉県2,01,12,100,2,1997,1997-03-01,1997,5,7,2,3.0,35.64722222,139.99,1,-1,20.3,4.0,Tokyo,1997,False,Other,12.0,29.73,8.6,0.0,1.31,0.101,6.2,0.05,0.071,0.5,0.008,14.9,31.8,0.0
0000024782,00000122,千葉県2,01,12,100,2,1997,1997-06-01,1997,8,7,2,4.0,35.64722222,139.99,1,-1,27.1,5.0,Tokyo,1997,False,Summer,2.6,24.85,8.2,0.0,1.28,0.141,4.3,0.71,0.05,0.17,0.082,9.0,4.8,0.0
0000024783,00000122,千葉県2,01,12,100,2,1997,1997-09-01,1997,11,5,2,5.0,35.64722222,139.99,1,-1,17.9,6.0,Tokyo,1997,False,Other,7.4,31.08,8.2,0.0,1.1,0.12,3.6,0.28,0.04,0.27,0.071,30.8,2.0,0.0
0000024784,00000122,千葉県2,01,12,100,2,1997,1997-12-01,1998,2,4,2,5.0,35.64722222,139.99,1,-1,9.0,6.0,Tokyo,1997,False,Winter,8.3,31.53,7.9,0.0,1.27,0.089,1.7,0.47,0.069,0.49,0.069,4.1,0.2,0.0
0000026261,00000122,千葉県2,01,12,100,2,1998,1998-03-01,1998,5,7,2,4.0,35.64722222,139.99,1,-1,20.3,5.0,Tokyo,1998,False,Other,8.5,29.03,8.4,0.0,0.82,0.076,2.7,0.06,0.041,0.28,0.01,15.2,6.4,0.0
0000026262,00000122,千葉県2,01,12,100,2,1998,1998-06-01,1998,8,5,2,4.0,35.64722222,139.99,1,-1,26.4,5.0,Tokyo,1998,False,Summer,2.6,27.04,8.4,0.0,0.96,0.109,3.3,0.27,0.017,0.1,0.049,18.3,10.7,0.0
0000026263,00000122,千葉県2,01,12,100,2,1998,1998-09-01,1998,11,5,2,4.0,35.64722222,139.99,1,-1,19.1,5.0,Tokyo,1998,False,Other,3.5,31.21,7.8,0.0,1.0,0.127,1.7,0.29,0.05,0.31,0.104,2.4,2.6,0.0
0000026264,00000122,千葉県2,01,12,100,2,1998,1998-12-01,1999,2,9,2,5.0,35.64722222,139.99,1,-1,7.9,6.0,Tokyo,1998,False,Winter,12.0,31.67,8.4,0.0,1.03,0.074,1.8,0.08,0.063,0.41,0.011,11.3,22.2,0.0
0000027741,00000122,千葉県2,01,12,100,2,1999,1999-03-01,1999,5,11,2,5.0,35.64722222,139.99,1,-1,18.8,6.0,Tokyo,1999,False,Other,9.9,25.61,8.7,0.0,1.37,0.091,6.0,0.03,0.048,0.39,0.009,88.1,16.5,0.0
0000027742,00000122,千葉県2,01,12,100,2,1999,1999-06-01,1999,8,3,2,5.0,35.64722222,139.99,1,-1,28.6,6.0,Tokyo,1999,False,Summer,6.8,20.6,8.7,0.0,2.38,0.168,7.1,1.12,0.065,0.43,0.029,31.2,24.4,0.0
0000027743,00000122,千葉県2,01,12,100,2,1999,1999-09-01,1999,11,5,2,4.0,35.64722222,139.99,1,-1,18.4,5.0,Tokyo,1999,False,Other,4.6,31.49,7.9,0.0,0.82,0.09,1.3,0.34,0.039,0.23,0.075,0.9,0.6,0.0
0000027744,00000122,千葉県2,01,12,100,2,1999,1999-12-01,2000,2,2,2,5.0,35.64722222,139.99,1,-1,8.9,6.0,Tokyo,1999,False,Winter,12.4,31.83,8.4,0.0,1.12,0.087,4.3,0.03,0.058,0.41,0.01,22.4,34.3,0.0
0000029221,00000122,千葉県2,01,12,100,2,2000,2000-03-01,2000,5,9,2,4.0,35.64722222,139.99,1,-1,18.7,5.0,Tokyo,2000,False,Other,8.1,27.46,8.5,0.0,1.21,0.061,4.6,0.13,0.066,0.52,0.01,7.3,6.2,0.0
0000029222,00000122,千葉県2,01,12,100,2,2000,2000-06-01,2000,8,4,2,4.0,35.64722222,139.99,1,-1,27.7,5.0,Tokyo,2000,False,Summer,3.0,23.32,8.6,0.0,1.34,0.15,7.0,0.22,0.051,0.23,0.016,72.0,24.1,0.0
0000029223,00000122,千葉県2,01,12,100,2,2000,2000-09-01,2000,11,7,2,4.5,35.64722222,139.99,1,-1,17.6,5.5,Tokyo,2000,False,Other,5.1,32.13,7.9,0.0,0.68,0.099,1.8,0.13,0.046,0.31,0.08,2.0,0.9,0.0
0000029224,00000122,千葉県2,01,12,100,2,2000,2000-12-01,2001,2,8,2,4.0,35.64722222,139.99,1,-1,8.3,5.0,Tokyo,2000,False,Winter,10.7,31.14,8.2,0.0,1.2,0.088,3.3,0.3,0.059,0.51,0.04,29.9,5.4,0.0
0000030701,00000122,千葉県2,01,12,100,2,2001,2001-03-01,2001,5,8,2,4.0,35.64722222,139.99,1,-1,17.6,5.0,Tokyo,2001,False,Other,6.9,29.45,8.1,2.8,1.45,0.158,4.5,0.32,0.063,0.67,0.066,16.9,8.3,0.0
0000030702,00000122,千葉県2,01,12,100,2,2001,2001-06-01,2001,8,8,2,4.0,35.64722222,139.99,1,-1,23.0,5.0,Tokyo,2001,False,Summer,0.0,30.09,8.0,2.2,1.11,0.154,3.5,0.38,0.014,0.06,0.107,10.8,5.6,1.7
0000030703,00000122,千葉県2,01,12,100,2,2001,2001-09-01,2001,11,6,2,5.0,35.64722222,139.99,1,-1,19.2,6.0,Tokyo,2001,False,Other,2.0,32.19,7.7,0.0,0.67,0.156,2.0,0.39,0.005,0.08,0.121,1.7,2.4,0.0
0000030704,00000122,千葉県2,01,12,100,2,2001,2001-12-01,2002,2,4,2,4.0,35.64722222,139.99,1,-1,9.5,5.0,Tokyo,2001,False,Winter,10.7,31.4,8.2,2.2,1.11,0.084,3.4,0.18,0.065,0.43,0.021,12.8,10.3,1.3
0000032181,00000122,千葉県2,01,12,100,2,2002,2002-03-01,2002,5,9,2,4.0,35.64722222,139.99,1,-1,17.3,,Tokyo,2002,False,Other,8.2,30.9,8.3,0.0,0.88,0.063,3.5,0.15,0.038,0.3,0.019,13.0,2.3,0.0
0000032182,00000122,千葉県2,01,12,100,2,2002,2002-06-01,2002,8,6,2,4.0,35.64722222,139.99,1,-1,28.7,,Tokyo,2002,False,Summer,2.5,24.67,8.5,3.2,1.35,0.17,7.2,0.12,0.01,0.03,0.019,63.0,23.0,2.4
