年度,県コード,連番,県番号,調査年月日,is_overflow,学名,和名,個体数,湿重量_g,Year,Month,Season,学名_clean
2003,12.0,2,3,2004-02-03,True,Micropodarke sp.,,1.0,0.01,2004.0,2.0,Winter,Micropodarke sp.
2003,12.0,2,3,2004-02-03,True,Sigambra tentaculata,,1.0,0.005,2004.0,2.0,Winter,Sigambra tentaculata
2003,12.0,2,3,2004-02-03,True,Nectoneanthes latipoda,,1.0,0.13,2004.0,2.0,Winter,Nectoneanthes latipoda
2003,12.0,2,3,2004-02-03,True,Glycera sp.,,1.0,0.005,2004.0,2.0,Winter,Glycera sp.
2003,12.0,2,3,2004-02-03,True,Glycinde sp.,,5.0,0.07,2004.0,2.0,Winter,Glycinde sp.
2003,12.0,2,3,2004-02-03,True,Lumbrineris longifolia,,8.0,0.05,2004.0,2.0,Winter,Lumbrineris longifolia
2003,12.0,2,3,2004-02-03,True,Paraprionospio sp.(A型),,413.0,5.58,2004.0,2.0,Winter,Paraprionospio sp.(A型)
2003,12.0,2,3,2004-02-03,True,Paraprionospio sp.(CI型),,12.0,0.36,2004.0,2.0,Winter,Paraprionospio sp.(CI型)
2003,12.0,2,3,2004-02-03,True,Mediomastus sp.,,19.0,0.06,2004.0,2.0,Winter,Mediomastus sp.
2003,12.0,2,3,2004-02-03,True,Pyromaia tuberculata,ｲｯｶｸｸﾓｶﾞﾆ,1.0,0.25,2004.0,2.0,Winter,Pyromaia tuberculata
2003,12.0,4,5,2003-08-05,False,NEMERTINEA,紐形動物門,9.0,0.03,2003.0,8.0,Summer,NEMERTINEA
2003,12.0,4,5,2003-08-05,False,Philine argentata,ｷｾﾜﾀｶﾞｲ,1.0,0.04,2003.0,8.0,Summer,Philine argentata
2003,12.0,4,5,2003-08-05,False,Scapharca subcrenata,ｻﾙﾎﾞｳｶﾞｲ,1.0,0.25,2003.0,8.0,Summer,Scapharca subcrenata
2003,12.0,4,5,2003-08-05,False,Raeta pulchellus,ﾁﾖﾉﾊﾅｶﾞｲ,1.0,0.11,2003.0,8.0,Summer,Raeta pulchellus
2003,12.0,4,5,2003-08-05,False,Macoma tokyoensis,ｺﾞｲｻｷﾞｶﾞｲ,1.0,0.33,2003.0,8.0,Summer,Macoma tokyoensis
2003,12.0,4,5,2003-08-05,False,Theora fragilis,ｼｽﾞｸｶﾞｲ,5.0,0.23,2003.0,8.0,Summer,Theora fragilis
2003,12.0,4,5,2003-08-05,False,Gyptis sp.,,1.0,0.01,2003.0,8.0,Summer,Gyptis sp.
2003,12.0,4,5,2003-08-05,False,Nectoneanthes latipoda,,1.0,0.01,2003.0,8.0,Summer,Nectoneanthes latipoda
2003,12.0,4,5,2003-08-05,False,Glycera chirori,ﾁﾛﾘ,4.0,0.85,2003.0,8.0,Summer,Glycera chirori
2003,12.0,4,5,2003-08-05,False,Glycinde sp.,,1.0,0.01,2003.0,8.0,Summer,Glycinde sp.
2003,12.0,4,5,2003-08-05,False,Paraprionospio sp.(A型),,73.0,0.44,2003.0,8.0,Summer,Paraprionospio sp.(A型)
2003,12.0,4,5,2003-08-05,False,Paraprionospio sp.(CI型),,124.0,1.28,2003.0,8.0,Summer,Paraprionospio sp.(CI型)
2003,12.0,4,5,2003-08-05,False,Polydora sp.,,1.0,0.005,2003.0,8.0,Summer,Polydora sp.
2003,12.0,4,5,2003-08-05,False,Lagis bocki,ｳﾐｲｻｺﾞﾑｼ,1.0,0.01,2003.0,8.0,Summer,Lagis bocki
2003,12.0,4,5,2003-08-05,False,Chone sp.,,1.0,0.01,2003.0,8.0,Summer,Chone sp.
2003,12.0,4,5,2004-02-03,True,ACTINIARIA,ｲｿｷﾞﾝﾁｬｸ目,1.0,1.18,2004.0,2.0,Winter,ACTINIARIA
2003,12.0,4,5,2004-02-03,True,NEMERTINEA,紐形動物門,4.0,0.13,2004.0,2.0,Winter,NEMERTINEA
2003,12.0,4,5,2004-02-03,True,Philine argentata,ｷｾﾜﾀｶﾞｲ,1.0,0.18,2004.0,2.0,Winter,Philine argentata
2003,12.0,4,5,2004-02-03,True,Scapharca broughtonii,ｱｶｶﾞｲ,2.0,5.59,2004.0,2.0,Winter,Scapharca broughtonii
2003,12.0,4,5,2004-02-03,True,Scapharca subcrenata,ｻﾙﾎﾞｳｶﾞｲ,1.0,1.37,2004.0,2.0,Winter,Scapharca subcrenata
2003,12.0,4,5,2004-02-03,True,Eumida sp.,,1.0,0.005,2004.0,2.0,Winter,Eumida sp.
2003,12.0,4,5,2004-02-03,True,Sigambra tentaculata,,10.0,0.03,2004.0,2.0,Winter,Sigambra tentaculata
2003,12.0,4,5,2004-02-03,True,Nectoneanthes latipoda,,1.0,0.01,2004.0,2.0,Winter,Nectoneanthes latipoda
2003,12.0,4,5,2004-02-03,True,Leonnates sp.,,1.0,0.03,2004.0,2.0,Winter,Leonnates sp.
2003,12.0,4,5,2004-02-03,True,Glycera chirori,ﾁﾛﾘ,1.0,0.41,2004.0,2.0,Winter,Glycera chirori
2003,12.0,4,5,2004-02-03,True,Glycinde sp.,,16.0,0.27,2004.0,2.0,Winter,Glycinde sp.
2003,12.0,4,5,2004-02-03,True,Lumbrineris longifolia,,1.0,0.005,2004.0,2.0,Winter,Lumbrineris longifolia
2003,12.0,4,5,2004-02-03,True,Ninoe sp.,,1.0,0.59,2004.0,2.0,Winter,Ninoe sp.
2003,12.0,4,5,2004-02-03,True,Paraprionospio sp.(A型),,401.0,6.39,2004.0,2.0,Winter,Paraprionospio sp.(A型)
2003,12.0,4,5,2004-02-03,True,Mediomastus sp.,,5.0,0.03,2004.0,2.0,Winter,Mediomastus sp.
2003,12.0,4,5,2004-02-03,True,Euchone sp.,,1.0,0.02,2004.0,2.0,Winter,Euchone sp.
2003,12.0,4,5,2004-02-03,True,Pinnixa sp.,ﾏﾒｶﾞﾆ属,1.0,0.02,2004.0,2.0,Winter,Pinnixa sp.
2003,12.0,9,9,2004-02-03,True,Philine argentata,ｷｾﾜﾀｶﾞｲ,1.0,0.01,2004.0,2.0,Winter,Philine argentata
2003,12.0,9,9,2004-02-03,True,Raeta pulchellus,ﾁﾖﾉﾊﾅｶﾞｲ,2.0,0.04,2004.0,2.0,Winter,Raeta pulchellus
2003,12.0,9,9,2004-02-03,True,Paraprionospio sp.(CI型),,1.0,0.03,2004.0,2.0,Winter,Paraprionospio sp.(CI型)
2003,12.0,9,9,2004-02-03,True,Euchone sp.,,1.0,0.005,2004.0,2.0,Winter,Euchone sp.
2003,12.0,12,1,2003-08-05,False,ACTINIARIA,ｲｿｷﾞﾝﾁｬｸ目,19.0,5.21,2003.0,8.0,Summer,ACTINIARIA
2003,12.0,12,1,2003-08-05,False,NEMERTINEA,紐形動物門,11.0,0.04,2003.0,8.0,Summer,NEMERTINEA
2003,12.0,12,1,2003-08-05,False,Crepidula onyx,ｼﾏﾒﾉｳﾌﾈｶﾞｲ,9.0,3.39,2003.0,8.0,Summer,Crepidula onyx
2003,12.0,12,1,2003-08-05,False,Scapharca subcrenata,ｻﾙﾎﾞｳｶﾞｲ,2.0,7.11,2003.0,8.0,Summer,Scapharca subcrenata
2003,12.0,12,1,2003-08-05,False,PETRICOLIDAE,ｲﾜﾎﾘｶﾞｲ科,7.0,1.16,2003.0,8.0,Summer,PETRICOLIDAE
2003,12.0,12,1,2003-08-05,False,Gyptis sp.,,1.0,0.005,2003.0,8.0,Summer,Gyptis sp.
2003,12.0,12,1,2003-08-05,False,Sigambra tentaculata,,4.0,0.01,2003.0,8.0,Summer,Sigambra tentaculata
2003,12.0,12,1,2003-08-05,False,Glycera chirori,ﾁﾛﾘ,2.0,0.66,2003.0,8.0,Summer,Glycera chirori
2003,12.0,12,1,2003-08-05,False,Glycinde sp.,,1.0,0.01,2003.0,8.0,Summer,Glycinde sp.
2003,12.0,12,1,2003-08-05,False,Nephtys sp.,,1.0,0.01,2003.0,8.0,Summer,Nephtys sp.
2003,12.0,12,1,2003-08-05,False,Lumbrineris longifolia,,18.0,0.24,2003.0,8.0,Summer,Lumbrineris longifolia
2003,12.0,12,1,2003-08-05,False,Paraprionospio sp.(A型),,139.0,1.02,2003.0,8.0,Summer,Paraprionospio sp.(A型)
2003,12.0,12,1,2003-08-05,False,Polydora sp.,,84.0,0.39,2003.0,8.0,Summer,Polydora sp.
2003,12.0,12,1,2003-08-05,False,Spiochaetopterus costarum,ｱｼﾋﾞｷﾂﾊﾞｻｺﾞｶｲ,1.0,0.005,2003.0,8.0,Summer,Spiochaetopterus costarum
2003,12.0,12,1,2003-08-05,False,Owenia fusiformis,ﾁﾏｷｺﾞｶｲ,3.0,0.02,2003.0,8.0,Summer,Owenia fusiformis
2003,12.0,12,1,2003-08-05,False,Streblosoma sp.,,1.0,0.2,2003.0,8.0,Summer,Streblosoma sp.
2003,12.0,12,1,2003-08-05,False,Hydroides ezoensis,ｴｿﾞｶｻﾈｶﾝｻﾞｼ,2.0,0.01,2003.0,8.0,Summer,Hydroides ezoensis
2003,12.0,12,1,2003-08-05,False,Pinnixa rathbuni,ﾗｽﾊﾞﾝﾏﾒｶﾞﾆ,16.0,0.59,2003.0,8.0,Summer,Pinnixa rathbuni
2003,12.0,12,1,2003-08-05,False,Phoronis sp.,,1.0,0.01,2003.0,8.0,Summer,Phoronis sp.
2003,12.0,12,1,2004-02-03,True,EDWARDSIIDAE,ﾑｼﾓﾄﾞｷｷﾞﾝﾁｬｸ科,1.0,0.01,2004.0,2.0,Winter,EDWARDSIIDAE
2003,12.0,12,1,2004-02-03,True,ACTINIARIA,ｲｿｷﾞﾝﾁｬｸ目,1.0,0.44,2004.0,2.0,Winter,ACTINIARIA
2003,12.0,12,1,2004-02-03,True,NEMERTINEA,紐形動物門,4.0,0.56,2004.0,2.0,Winter,NEMERTINEA
2003,12.0,12,1,2004-02-03,True,Philine argentata,ｷｾﾜﾀｶﾞｲ,1.0,0.01,2004.0,2.0,Winter,Philine argentata
2003,12.0,12,1,2004-02-03,True,Scapharca subcrenata,ｻﾙﾎﾞｳｶﾞｲ,1.0,0.56,2004.0,2.0,Winter,Scapharca subcrenata
2003,12.0,12,1,2004-02-03,True,Musculista senhousia,ﾎﾄﾄｷﾞｽｶﾞｲ,1.0,0.05,2004.0,2.0,Winter,Musculista senhousia
2003,12.0,12,1,2004-02-03,True,Theora fragilis,ｼｽﾞｸｶﾞｲ,1.0,0.03,2004.0,2.0,Winter,Theora fragilis
2003,12.0,12,1,2004-02-03,True,Eumida sp.,,1.0,0.005,2004.0,2.0,Winter,Eumida sp.
2003,12.0,12,1,2004-02-03,True,Sigambra tentaculata,,10.0,0.03,2004.0,2.0,Winter,Sigambra tentaculata
2003,12.0,12,1,2004-02-03,True,Glycera sp.,,1.0,0.1,2004.0,2.0,Winter,Glycera sp.
2003,12.0,12,1,2004-02-03,True,Glycinde sp.,,13.0,0.21,2004.0,2.0,Winter,Glycinde sp.
2003,12.0,12,1,2004-02-03,True,Nephtys sp.,,1.0,0.01,2004.0,2.0,Winter,Nephtys sp.
2003,12.0,12,1,2004-02-03,True,Paraprionospio sp.(A型),,497.0,11.82,2004.0,2.0,Winter,Paraprionospio sp.(A型)
2003,12.0,12,1,2004-02-03,True,Mediomastus sp.,,1.0,0.01,2004.0,2.0,Winter,Mediomastus sp.
2003,12.0,12,1,2004-02-03,True,Nicolea sp.,,1.0,0.005,2004.0,2.0,Winter,Nicolea sp.
2003,12.0,12,1,2004-02-03,True,Euchone sp.,,1.0,0.02,2004.0,2.0,Winter,Euchone sp.
2003,12.0,12,1,2004-02-03,True,Corophium sp.,,1.0,0.005,2004.0,2.0,Winter,Corophium sp.
2003,12.0,12,1,2004-02-03,True,Pyromaia tuberculata,ｲｯｶｸｸﾓｶﾞﾆ,1.0,0.72,2004.0,2.0,Winter,Pyromaia tuberculata
2003,12.0,12,1,2004-02-03,True,Styela plicata,ｼﾛﾎﾞﾔ,1.0,6.43,2004.0,2.0,Winter,Styela plicata
2003,12.0,15,8,2004-02-03,True,Theora fragilis,ｼｽﾞｸｶﾞｲ,1.0,0.01,2004.0,2.0,Winter,Theora fragilis
2003,12.0,15,8,2004-02-03,True,Paraprionospio sp.(A型),,1.0,0.01,2004.0,2.0,Winter,Paraprionospio sp.(A型)
2003,13.0,18,25,2004-02-02,True,Glycera sp.,,3.0,0.3,2004.0,2.0,Winter,Glycera sp.
2003,13.0,18,25,2004-02-02,True,Glycinde sp.,,8.0,0.33,2004.0,2.0,Winter,Glycinde sp.
2003,13.0,18,25,2004-02-02,True,Gyptis sp.,,1.0,0.01,2004.0,2.0,Winter,Gyptis sp.
2003,13.0,18,25,2004-02-02,True,Nephtys sp.,,1.0,0.01,2004.0,2.0,Winter,Nephtys sp.
2003,13.0,18,25,2004-02-02,True,Nectoneanthes latipoda,オウギゴカイ,10.0,3.29,2004.0,2.0,Winter,Nectoneanthes latipoda
2003,13.0,18,25,2004-02-02,True,Lagis bocki,ウミイサゴムシ,1.0,0.005,2004.0,2.0,Winter,Lagis bocki
2003,13.0,18,25,2004-02-02,True,Euchone sp.,,2.0,0.01,2004.0,2.0,Winter,Euchone sp.
2003,13.0,18,25,2004-02-02,True,Paraprionospio sp. (A),,377.0,6.27,2004.0,2.0,Winter,Rare_sp
2003,13.0,18,25,2004-02-02,True,Paraprionospio sp. (CI),,2.0,0.02,2004.0,2.0,Winter,Rare_sp
2003,13.0,18,25,2004-02-02,True,Ringiculidae,マメウラシマガイ科,1.0,0.01,2004.0,2.0,Winter,Ringiculidae
2003,13.0,18,25,2004-02-02,True,Raeta rostralis,チヨノハナガイ,2.0,0.04,2004.0,2.0,Winter,Raeta rostralis
2003,13.0,18,25,2004-02-02,True,Theora lata,シズクガイ,2.0,0.06,2004.0,2.0,Winter,Theora lata
2003,13.0,26,10,2003-08-05,False,NEMERTINEA,紐形動物門,1.0,0.02,2003.0,8.0,Summer,NEMERTINEA
2003,13.0,26,10,2003-08-05,False,Glycera sp.,,1.0,0.33,2003.0,8.0,Summer,Glycera sp.
2003,13.0,26,10,2003-08-05,False,Nephtys sp.,,3.0,0.05,2003.0,8.0,Summer,Nephtys sp.
2003,13.0,26,10,2003-08-05,False,Nectoneanthes latipoda,オウギゴカイ,1.0,0.03,2003.0,8.0,Summer,Nectoneanthes latipoda
2003,13.0,26,10,2003-08-05,False,Ancistrosyllis hanaokai,ハナオカカギゴカイ,1.0,0.005,2003.0,8.0,Summer,Rare_sp
2003,13.0,26,10,2003-08-05,False,Paraprionospio sp. (CI),,5.0,0.18,2003.0,8.0,Summer,Rare_sp
2003,13.0,26,10,2003-08-05,False,Raeta rostralis,チヨノハナガイ,1.0,0.005,2003.0,8.0,Summer,Raeta rostralis
2003,13.0,26,10,2003-08-05,False,Theora lata,シズクガイ,11.0,0.25,2003.0,8.0,Summer,Theora lata
2003,13.0,26,10,2003-08-05,False,Melita sp.,,1.0,0.005,2003.0,8.0,Summer,Melita sp.
2003,13.0,26,,2004-02-02,True,Spionidae,スピオ科,1.0,0.01,2004.0,2.0,Winter,Spionidae
2003,13.0,26,,2004-02-02,True,Raeta rostralis,チヨノハナガイ,1.0,0.01,2004.0,2.0,Winter,Raeta rostralis
2003,13.0,26,,2004-02-02,True,Theora lata,シズクガイ,1.0,0.06,2004.0,2.0,Winter,Theora lata
2003,13.0,26,,2004-02-02,True,Ampelisca brevicornis,クビナガスガメ,1.0,0.005,2004.0,2.0,Winter,Ampelisca brevicornis
2003,14.0,32,3,2003-08-05,False,NEMERTINEA,紐形動物門,1.0,0.005,2003.0,8.0,Summer,NEMERTINEA
2003,14.0,32,3,2003-08-05,False,Theora fragilis,シズクガイ,2.0,0.13,2003.0,8.0,Summer,Theora fragilis
2003,14.0,32,3,2003-08-05,False,Nectoneanthes latipoda,,1.0,0.05,2003.0,8.0,Summer,Nectoneanthes latipoda
2003,14.0,32,3,2003-08-05,False,Ophiura kinbergi,,1.0,0.005,2003.0,8.0,Summer,Ophiura kinbergi
2003,14.0,32,3,2004-02-03,True,NEMERTINEA,紐形動物門,11.0,0.16,2004.0,2.0,Winter,NEMERTINEA
2003,14.0,32,3,2004-02-03,True,Sigambra tentaculata,,1.0,0.005,2004.0,2.0,Winter,Sigambra tentaculata
2003,14.0,32,3,2004-02-03,True,Paraprionospio sp.(A型),,25.0,0.95,2004.0,2.0,Winter,Paraprionospio sp.(A型)
2003,14.0,32,3,2004-02-03,True,Paraprionospio sp.(CI型),,28.0,2.09,2004.0,2.0,Winter,Paraprionospio sp.(CI型)
2003,14.0,32,3,2004-02-03,True,Scolelepis sp.,,3.0,0.04,2004.0,2.0,Winter,Scolelepis sp.
2003,14.0,32,3,2004-02-03,True,Spio filicornis,マドカスピオ,1.0,0.005,2004.0,2.0,Winter,Spio filicornis
2004,12.0,2,3,2004-08-03,False,Sigambra tentaculata,,1.0,0.005,2004.0,8.0,Summer,Sigambra tentaculata
2004,12.0,2,3,2004-08-03,False,Paraprionospio sp.(A型),,64.0,0.79,2004.0,8.0,Summer,Paraprionospio sp.(A型)
2004,12.0,2,3,2005-02-03,True,ACTINIARIA,ｲｿｷﾞﾝﾁｬｸ目,2.0,0.04,2005.0,2.0,Winter,ACTINIARIA
2004,12.0,2,3,2005-02-03,True,POLYCLADIDA,ﾋﾗﾑｼ目,2.0,0.4,2005.0,2.0,Winter,POLYCLADIDA
2004,12.0,2,3,2005-02-03,True,Crepidula onyx,ｼﾏﾒﾉｳﾌﾈｶﾞｲ,1.0,0.01,2005.0,2.0,Winter,Crepidula onyx
2004,12.0,2,3,2005-02-03,True,Philine argentata,ｷｾﾜﾀｶﾞｲ,1.0,0.13,2005.0,2.0,Winter,Philine argentata
2004,12.0,2,3,2005-02-03,True,Scapharca broughtonii,ｱｶｶﾞｲ,1.0,3.56,2005.0,2.0,Winter,Scapharca broughtonii
2004,12.0,2,3,2005-02-03,True,Scapharca subcrenata,ｻﾙﾎﾞｳｶﾞｲ,6.0,4.96,2005.0,2.0,Winter,Scapharca subcrenata
2004,12.0,2,3,2005-02-03,True,Mercenaria mercenaria,ﾎﾝﾋﾞﾉｽｶﾞｲ,1.0,0.47,2005.0,2.0,Winter,Mercenaria mercenaria
2004,12.0,2,3,2005-02-03,True,PETRICOLIDAE,ｲﾜﾎﾘｶﾞｲ科,3.0,0.24,2005.0,2.0,Winter,PETRICOLIDAE
2004,12.0,2,3,2005-02-03,True,Eumida sp.,,2.0,0.01,2005.0,2.0,Winter,Eumida sp.
2004,12.0,2,3,2005-02-03,True,Neanthes succinea,ｱｼﾅｶﾞｺﾞｶｲ,4.0,0.26,2005.0,2.0,Winter,Neanthes succinea
2004,12.0,2,3,2005-02-03,True,Glycinde sp.,,1.0,0.005,2005.0,2.0,Winter,Glycinde sp.
2004,12.0,2,3,2005-02-03,True,Nephtys sp.,,1.0,0.005,2005.0,2.0,Winter,Nephtys sp.
2004,12.0,2,3,2005-02-03,True,Lumbrineris longifolia,,2.0,0.01,2005.0,2.0,Winter,Lumbrineris longifolia
2004,12.0,2,3,2005-02-03,True,Paraprionospio sp.(A型),,78.0,0.98,2005.0,2.0,Winter,Paraprionospio sp.(A型)
2004,12.0,2,3,2005-02-03,True,Polydora sp.,,4.0,0.03,2005.0,2.0,Winter,Polydora sp.
2004,12.0,2,3,2005-02-03,True,Hydroides ezoensis,ｴｿﾞｶｻﾈｶﾝｻﾞｼ,4.0,0.16,2005.0,2.0,Winter,Hydroides ezoensis
2004,12.0,2,3,2005-02-03,True,SERPULIDAE,ｶﾝｻﾞｼｺﾞｶｲ科,10.0,0.33,2005.0,2.0,Winter,SERPULIDAE
2004,12.0,4,5,2004-08-03,False,ACTINIARIA,ｲｿｷﾞﾝﾁｬｸ目,1.0,0.31,2004.0,8.0,Summer,ACTINIARIA
2004,12.0,4,5,2004-08-03,False,Scapharca subcrenata,ｻﾙﾎﾞｳｶﾞｲ,1.0,4.46,2004.0,8.0,Summer,Scapharca subcrenata
2004,12.0,4,5,2004-08-03,False,Lumbrineris longifolia,,1.0,0.005,2004.0,8.0,Summer,Lumbrineris longifolia
2004,12.0,4,5,2004-08-03,False,Paraprionospio sp.(A型),,17.0,0.12,2004.0,8.0,Summer,Paraprionospio sp.(A型)
2004,12.0,4,5,2004-08-03,False,Pinnixa rathbuni,ﾗｽﾊﾞﾝﾏﾒｶﾞﾆ,1.0,0.03,2004.0,8.0,Summer,Pinnixa rathbuni
2004,12.0,4,5,2005-02-03,True,ACTINIARIA,ｲｿｷﾞﾝﾁｬｸ目,2.0,0.21,2005.0,2.0,Winter,ACTINIARIA
2004,12.0,4,5,2005-02-03,True,Philine argentata,ｷｾﾜﾀｶﾞｲ,1.0,0.17,2005.0,2.0,Winter,Philine argentata
2004,12.0,4,5,2005-02-03,True,Scapharca broughtonii,ｱｶｶﾞｲ,1.0,2.17,2005.0,2.0,Winter,Scapharca broughtonii
2004,12.0,4,5,2005-02-03,True,Scapharca subcrenata,ｻﾙﾎﾞｳｶﾞｲ,2.0,0.5,2005.0,2.0,Winter,Scapharca subcrenata
2004,12.0,4,5,2005-02-03,True,Raeta pulchellus,ﾁﾖﾉﾊﾅｶﾞｲ,1.0,0.01,2005.0,2.0,Winter,Raeta pulchellus
2004,12.0,4,5,2005-02-03,True,Theora fragilis,ｼｽﾞｸｶﾞｲ,1.0,0.03,2005.0,2.0,Winter,Theora fragilis
2004,12.0,4,5,2005-02-03,True,Neanthes succinea,ｱｼﾅｶﾞｺﾞｶｲ,1.0,0.07,2005.0,2.0,Winter,Neanthes succinea
2004,12.0,4,5,2005-02-03,True,Nectoneanthes latipoda,,2.0,0.21,2005.0,2.0,Winter,Nectoneanthes latipoda
2004,12.0,4,5,2005-02-03,True,Leonnates sp.,,1.0,0.02,2005.0,2.0,Winter,Leonnates sp.
2004,12.0,4,5,2005-02-03,True,Glycera sp.,,3.0,0.04,2005.0,2.0,Winter,Glycera sp.
2004,12.0,4,5,2005-02-03,True,Lumbrineris longifolia,,1.0,0.005,2005.0,2.0,Winter,Lumbrineris longifolia
2004,12.0,4,5,2005-02-03,True,Paraprionospio sp.(A型),,16.0,0.17,2005.0,2.0,Winter,Paraprionospio sp.(A型)
2004,12.0,4,5,2005-02-03,True,Ophiura kinbergi,ｸｼﾉﾊｸﾓﾋﾄﾃﾞ,1.0,0.08,2005.0,2.0,Winter,Ophiura kinbergi
2004,12.0,9,9,2005-02-03,True,Theora fragilis,ｼｽﾞｸｶﾞｲ,1.0,0.06,2005.0,2.0,Winter,Theora fragilis
2004,12.0,9,9,2005-02-03,True,Ophiura kinbergi,ｸｼﾉﾊｸﾓﾋﾄﾃﾞ,1.0,0.04,2005.0,2.0,Winter,Ophiura kinbergi
2004,12.0,12,1,2004-08-03,False,Sigambra tentaculata,,1.0,0.005,2004.0,8.0,Summer,Sigambra tentaculata
2004,12.0,12,1,2004-08-03,False,Paraprionospio sp.(A型),,16.0,0.19,2004.0,8.0,Summer,Paraprionospio sp.(A型)
2004,12.0,12,1,2005-02-03,True,Philine argentata,ｷｾﾜﾀｶﾞｲ,2.0,0.21,2005.0,2.0,Winter,Philine argentata
2004,12.0,12,1,2005-02-03,True,AGLAJIDAE,ｶﾉｺｷｾﾜﾀｶﾞｲ科,1.0,0.1,2005.0,2.0,Winter,AGLAJIDAE
2004,12.0,12,1,2005-02-03,True,Scapharca subcrenata,ｻﾙﾎﾞｳｶﾞｲ,2.0,0.59,2005.0,2.0,Winter,Scapharca subcrenata
2004,12.0,12,1,2005-02-03,True,Neanthes succinea,ｱｼﾅｶﾞｺﾞｶｲ,1.0,0.04,2005.0,2.0,Winter,Neanthes succinea
2004,12.0,12,1,2005-02-03,True,Nectoneanthes latipoda,,1.0,0.13,2005.0,2.0,Winter,Nectoneanthes latipoda
2004,12.0,12,1,2005-02-03,True,Glycera sp.,,3.0,0.11,2005.0,2.0,Winter,Glycera sp.
2004,12.0,12,1,2005-02-03,True,Glycinde sp.,,10.0,0.23,2005.0,2.0,Winter,Glycinde sp.
2004,12.0,12,1,2005-02-03,True,Nephtys sp.,,1.0,0.01,2005.0,2.0,Winter,Nephtys sp.
2004,12.0,12,1,2005-02-03,True,Lumbrineris longifolia,,2.0,0.02,2005.0,2.0,Winter,Lumbrineris longifolia
2004,12.0,12,1,2005-02-03,True,Paraprionospio sp.(A型),,561.0,5.97,2005.0,2.0,Winter,Paraprionospio sp.(A型)
2004,12.0,12,1,2005-02-03,True,Owenia fusiformis,ﾁﾏｷｺﾞｶｲ,1.0,0.02,2005.0,2.0,Winter,Owenia fusiformis
2004,12.0,12,1,2005-02-03,True,Ophiura kinbergi,ｸｼﾉﾊｸﾓﾋﾄﾃﾞ,4.0,0.13,2005.0,2.0,Winter,Ophiura kinbergi
2004,12.0,15,8,2005-02-03,True,Theora fragilis,ｼｽﾞｸｶﾞｲ,1.0,0.05,2005.0,2.0,Winter,Theora fragilis
