連番,Year,Season,S,N,Shannon,Simpson,Margalef,Pielou,lat_dd,lon_dd,sea_area,do_station,env_dist_km,env_zettaicode,is_hypoxic_station,is_stressed_station
18.0,2008.0,Summer,1,2.0,-0.0,0.0,,,35.559999999999995,139.82444444444445,100.0,0.0,0.4778031123314523,1318,True,True
181.0,2008.0,Summer,12,117.0,0.6782794686162197,0.2381474176345971,2.3098694316101573,0.2729597382155531,34.282222222222224,134.3538888888889,306.0,6.7,1.050338266185614e-06,37181,False,False
2.0,2008.0,Summer,20,167.0,1.956110990368631,0.7630965613682813,3.712392139651309,0.6529658900553206,35.64388888888889,139.9933333333333,100.0,6.1,0.47760326398872804,122,False,False
23.0,2008.0,Summer,12,245.0,1.1594533413738504,0.5913202832153269,1.9995425735362449,0.4665983494682865,34.656666666666666,135.275,301.0,2.1,1.0330380410700952,2823,False,True
254.0,2008.0,Summer,20,63.0,2.5881648124540755,0.8924162257495591,4.585899627876226,0.8639506391482716,34.11138888888889,133.6275,310.0,8.2,1.2354992871652025e-07,37254,False,False
26.0,2008.0,Summer,7,38.0,1.385624902857637,0.6468144044321329,1.6494454664549614,0.7120703407247866,35.46416666666667,139.85611111111112,100.0,3.0,0.47802883737174107,1326,False,True
27.0,2008.0,Summer,4,16.0,1.1432752061942135,0.6328125,1.0820212806667229,0.8246987351738496,34.666666666666664,136.60027777777776,201.0,2.5,0.44935052538878156,2427,False,True
274.0,2008.0,Summer,8,14.0,1.8468891232610356,0.8061224489795918,2.652462271829658,0.8881659264001538,34.05333333333333,133.5,310.0,5.4,0.4363776020606364,38274,False,False
313.0,2008.0,Summer,3,9.0,0.8486855577264172,0.4938271604938271,0.9102392266268372,0.7725068857142601,34.38666666666666,133.24749999999997,309.0,7.1,0.8064028823357108,34312,False,False
328.0,2008.0,Summer,7,13.0,1.5171515848932915,0.6745562130177516,2.33922747150768,0.7796616846003026,34.0,133.17499999999998,310.0,7.0,0.43645341499102913,38328,False,False
35.0,2008.0,Summer,58,593.0,2.104925950402977,0.6787336235848815,8.926901271627251,0.5183981021124378,35.34805555555556,139.80583333333334,100.0,4.9,0.6980006225924529,1235,False,False
396.0,2008.0,Summer,14,34.0,2.2104952696871023,0.8494809688581315,3.686520396667334,0.8376079007004236,34.333333333333336,132.45583333333332,312.0,3.8,3.083075573419973e-06,34396,False,True
4.0,2008.0,Summer,7,117.0,1.113316376949006,0.5360508437431513,1.2599287808782678,0.5721314406471907,35.60166666666667,140.06416666666667,100.0,4.7,0.4777057070374204,124,False,False
410.0,2008.0,Summer,6,25.0,1.297389524725291,0.6304,1.5533373363990295,0.724086880525457,34.30305555555555,132.35305555555556,312.0,5.3,1.4739665288236428,34411,False,False
426.0,2008.0,Summer,4,5.0,1.3321790402101223,0.72,1.8640048036788357,0.9609640474436812,33.99666666666667,132.29222222222222,312.0,7.8,2.081891068016308e-06,35426,False,False
44.0,2008.0,Summer,14,51.0,2.282391246377311,0.8465974625144175,3.3063521158725493,0.864850952938584,34.436388888888885,135.14,301.0,6.5,0.4497499003868794,2744,False,False
528.0,2008.0,Summer,9,25.0,1.7201877092785527,0.7456,2.4853397382384474,0.7828911650733503,33.30333333333333,131.61333333333332,314.0,5.8,9.243698658432601,44578,False,False
550.0,2008.0,Summer,12,141.0,1.9705330940839,0.8239022181982798,2.2227790888354084,0.7930008534735161,34.03805555555555,131.70083333333332,315.0,11.0,3.110951984571743e-06,35550,False,False
59.0,2008.0,Summer,0,0.0,,,,,34.72,137.12166666666667,202.0,1.4,0.4640774576398907,2359,True,True
598.0,2008.0,Summer,2,3.0,0.6365141682948128,0.4444444444444444,0.9102392266268372,0.9182958340544894,33.78333333333333,131.32527777777779,316.0,6.9,2.08693947347891e-06,35598,False,False
617.0,2008.0,Summer,24,91.0,2.300011204095741,0.7706798695809685,5.098806550452712,0.7237168804796257,33.635,131.13333333333333,316.0,5.4,0.4369762901227268,40617,False,False
79.0,2008.0,Summer,10,23.0,2.000797681430619,0.8279773156899811,2.870360900134209,0.8689353924501381,34.11277777777778,135.00833333333333,303.0,6.5,3.078671416947404e-06,3079,False,False
1.0,2009.0,Summer,8,427.0,0.3995696489678286,0.1586253421013661,1.1557288463170052,0.1921523836852101,,,,5.469101123595506,,regional_mean,False,False
10.0,2009.0,Summer,24,553.0,1.3549450359331203,0.6295890572219915,3.641915469313978,0.4263442686195078,34.93333333333333,136.805,201.0,5.0,0.4636454643681527,2310,False,False
11.0,2009.0,Summer,12,79.0,1.666558318597527,0.7258452171126423,2.5174805539307035,0.670672404832475,34.88638888888889,136.66666666666666,201.0,0.7,0.46373887583859613,2411,True,True
143.0,2009.0,Summer,7,100.0,1.6792043316027068,0.7644444444444445,1.3028834457097551,0.8629403225107362,34.60333333333333,134.61388888888888,305.0,5.5,1.082385399248306e-06,28143,False,False
18.0,2009.0,Summer,60,710.0,3.085500708734789,0.915187462804999,8.986689839524058,0.7536006464146273,35.559999999999995,139.82444444444445,100.0,0.0,0.4778031123314523,1318,True,True
181.0,2009.0,Summer,1,50.0,-0.0,0.0,,,34.282222222222224,134.3538888888889,306.0,6.0,1.050338266185614e-06,37181,False,False
2.0,2009.0,Summer,4,162.0,1.1517728615523546,0.6132449321749733,0.5896694238936648,0.8308284977960363,35.64388888888889,139.9933333333333,100.0,1.2,0.47760326398872804,122,True,True
23.0,2009.0,Summer,3,380.0,0.3264420409566655,0.1481994459833795,0.3366906297666176,0.2971403508988816,34.656666666666666,135.275,301.0,1.5,1.0330380410700952,2823,True,True
254.0,2009.0,Summer,6,390.0,0.5892986246694031,0.2366863905325442,0.8380618544314249,0.3288938246400288,34.11138888888889,133.6275,310.0,6.7,1.2354992871652025e-07,37254,False,False
26.0,2009.0,Summer,20,140.0,2.1444052518588497,0.8219387755102041,3.844875524192127,0.7158200586846273,35.46416666666667,139.85611111111112,100.0,3.6,0.47802883737174107,1326,False,True
274.0,2009.0,Summer,1,62.5,-0.0,0.0,,,34.05333333333333,133.5,310.0,5.8,0.4363776020606364,38274,False,False
3.0,2009.0,Summer,9,257.0,0.6072750463513789,0.2639555481536436,1.4416814398664095,0.2763827842703279,,,,5.469101123595506,,regional_mean,False,False
313.0,2009.0,Summer,3,760.0,0.2868859390092572,0.125,0.3015082149479954,0.2611348352539003,34.38666666666666,133.24749999999997,309.0,6.8,0.8064028823357108,34312,False,False
32.0,2009.0,Summer,6,920.0,0.7627019434650785,0.3275047258979207,0.7326679695088314,0.4256720595391489,35.4575,139.7513888888889,100.0,3.6,9.249645817812628,1326,False,True
328.0,2009.0,Summer,7,1075.0,0.6379379403425818,0.2717685235262305,0.8595895017607952,0.3278352500768257,34.0,133.17499999999998,310.0,7.1,0.43645341499102913,38328,False,False
396.0,2009.0,Summer,10,290.0,1.844637135933752,0.7776456599286563,1.5873349233001028,0.8011157292498471,34.333333333333336,132.45583333333332,312.0,2.5,3.083075573419973e-06,34396,False,True
410.0,2009.0,Summer,5,140.0,1.4327570529970874,0.7346938775510203,0.80944747877729,0.8902220097637676,34.30305555555555,132.35305555555556,312.0,5.1,1.4739665288236428,34411,False,False
426.0,2009.0,Summer,2,2.0,0.6931471805599453,0.5,1.4426950408889634,1.0,33.99666666666667,132.29222222222222,312.0,7.5,2.081891068016308e-06,35426,False,False
44.0,2009.0,Summer,16,30.0,2.4963801622956447,0.8911111111111111,4.410211556928091,0.9003788200793781,34.436388888888885,135.14,301.0,6.1,0.4497499003868794,2744,False,False
5.0,2009.0,Summer,4,99.0,0.3117689546731534,0.1336598306295275,0.6528665405565278,0.2248937624050472,,,,5.469101123595506,,regional_mean,False,False
528.0,2009.0,Summer,4,320.0,0.970547944345888,0.537109375,0.5200820138455512,0.7001023531263951,33.30333333333333,131.61333333333332,314.0,5.9,9.243698658432601,44578,False,False
550.0,2009.0,Summer,7,42.0,1.2313993126275309,0.5759637188208617,1.6052783185143238,0.6328140655545385,34.03805555555555,131.70083333333332,315.0,7.2,3.110951984571743e-06,35550,False,False
59.0,2009.0,Summer,3,10.0,0.8979457248567798,0.54,0.8685889638065035,0.8173454221465101,34.72,137.12166666666667,202.0,5.1,0.4640774576398907,2359,False,False
598.0,2009.0,Summer,3,3.0,1.0986122886681096,0.6666666666666667,1.8204784532536744,0.9999999999999998,33.78333333333333,131.32527777777779,316.0,6.0,2.08693947347891e-06,35598,False,False
61.0,2009.0,Summer,1,2.0,-0.0,0.0,,,34.75,137.3,202.0,7.1,1.104548288568557,2361,False,False
617.0,2009.0,Summer,12,450.0,1.9395971885162184,0.8128395061728395,1.800549061235234,0.7805513292347198,33.635,131.13333333333333,316.0,4.8,0.4369762901227268,40617,False,False
79.0,2009.0,Summer,7,120.0,1.791759469228055,0.8055555555555556,1.2532658691361749,0.9207822211616018,34.11277777777778,135.00833333333333,303.0,6.7,3.078671416947404e-06,3079,False,False
8.0,2009.0,Summer,2,2.0,0.6931471805599453,0.5,1.4426950408889634,1.0,,,,5.469101123595506,,regional_mean,False,False
9.0,2009.0,Summer,1,1.0,-0.0,0.0,,,35.53722222222222,140.0225,100.0,0.6,0.4778553138512997,129,True,True
11.0,2010.0,Summer,16,142.0,2.1566714516605927,0.8441777425114065,3.0267400023560063,0.7778548020343847,34.88638888888889,136.66666666666666,201.0,3.3,0.46373887583859613,2411,False,True
12.0,2010.0,Summer,8,505.0,0.369177630165814,0.1327634545632781,1.124577763954722,0.1775369120824532,35.608333333333334,139.8983333333333,100.0,7.4,0.47768825343837323,1212,False,False
143.0,2010.0,Summer,6,60.0,1.7917594692280547,0.8333333333333333,1.2211966833798615,1.0,34.60333333333333,134.61388888888888,305.0,6.1,1.082385399248306e-06,28143,False,False
15.0,2010.0,Summer,1,3.0,-0.0,0.0,,,35.551111111111105,139.9088888888889,100.0,1.7,0.4778209472003837,1215,True,True
18.0,2010.0,Summer,1,1.0,-0.0,0.0,,,35.559999999999995,139.82444444444445,100.0,0.5,0.4778031123314523,1318,True,True
181.0,2010.0,Summer,11,260.0,1.7304276404501977,0.6863905325443788,1.7983406825924928,0.7216443770835618,34.282222222222224,134.3538888888889,306.0,7.0,1.050338266185614e-06,37181,False,False
2.0,2010.0,Summer,12,314.0,1.6313155430155797,0.7494827376364153,1.913245455122127,0.6564896685977137,35.64388888888889,139.9933333333333,100.0,8.1,0.47760326398872804,122,False,False
23.0,2010.0,Summer,5,90.0,1.5229550675313184,0.7654320987654322,0.8889264864632416,0.946265187221801,34.656666666666666,135.275,301.0,2.1,1.0330380410700952,2823,False,True
254.0,2010.0,Summer,19,530.0,2.4088807329802684,0.8629405482378071,2.869496720757604,0.8181119561398462,34.11138888888889,133.6275,310.0,7.7,1.2354992871652025e-07,37254,False,False
26.0,2010.0,Summer,13,75.0,1.9323548084629776,0.8092444444444444,2.7793938707966013,0.75336957544276,35.46416666666667,139.85611111111112,100.0,0.6,0.47802883737174107,1326,True,True
27.0,2010.0,Summer,6,22.0,1.428910565500057,0.7107438016528925,1.6175772657433625,0.7974901709969336,34.666666666666664,136.60027777777776,201.0,4.0,0.44935052538878156,2427,False,True
274.0,2010.0,Summer,4,50.0,1.3200166381323717,0.7176,0.7668666559059943,0.952190728862247,34.05333333333333,133.5,310.0,6.6,0.4363776020606364,38274,False,False
313.0,2010.0,Summer,18,850.0,1.869646097535625,0.726643598615917,2.520297157756312,0.646853157358726,34.38666666666666,133.24749999999997,309.0,7.5,0.8064028823357108,34312,False,False
328.0,2010.0,Summer,9,799.0,0.9595077386036092,0.4075463540940569,1.1970025358375684,0.4366907909645074,34.0,133.17499999999998,310.0,7.5,0.43645341499102913,38328,False,False
35.0,2010.0,Summer,7,26.0,1.1504319086226074,0.5029585798816569,1.841566058580809,0.5912050508504264,35.34805555555556,139.80583333333334,100.0,7.4,0.6980006225924529,1235,False,False
396.0,2010.0,Summer,13,370.0,2.0545700740497668,0.8049671292914535,2.0292540628724662,0.8010177932257972,34.333333333333336,132.45583333333332,312.0,4.8,3.083075573419973e-06,34396,False,False
4.0,2010.0,Summer,15,252.0,1.2579378207388991,0.559397833207357,2.53190696153784,0.4645179104238551,35.60166666666667,140.06416666666667,100.0,5.8,0.4777057070374204,124,False,False
410.0,2010.0,Summer,10,390.0,1.624809216816813,0.7034845496383958,1.508511337976565,0.7056456770090861,34.30305555555555,132.35305555555556,312.0,6.2,1.4739665288236428,34411,False,False
426.0,2010.0,Summer,5,8.0,1.559581156259877,0.78125,1.9235933878519516,0.9690222556651344,33.99666666666667,132.29222222222222,312.0,8.1,2.081891068016308e-06,35426,False,False
44.0,2010.0,Summer,24,90.0,2.2320723870924857,0.7550617283950617,5.11132729716364,0.7023393895276184,34.436388888888885,135.14,301.0,6.1,0.4497499003868794,2744,False,False
528.0,2010.0,Summer,6,190.0,1.6341665579811735,0.775623268698061,0.9529211094206448,0.912045721563968,33.30333333333333,131.61333333333332,314.0,6.2,9.243698658432601,44578,False,False
550.0,2010.0,Summer,9,41.0,1.7977981052502998,0.793575252825699,2.154260064515128,0.8182131784771132,34.03805555555555,131.70083333333332,315.0,8.6,3.110951984571743e-06,35550,False,False
598.0,2010.0,Summer,3,6.0,0.8675632284814612,0.5,1.1162212531024944,0.7896900821428474,33.78333333333333,131.32527777777779,316.0,7.9,2.08693947347891e-06,35598,False,False
617.0,2010.0,Summer,7,220.0,1.285615574410434,0.5702479338842975,1.1124238647249047,0.660675712614257,33.635,131.13333333333333,316.0,5.12,0.4369762901227268,40617,False,False
79.0,2010.0,Summer,3,70.0,0.9556998911125344,0.5714285714285714,0.4707549111047736,0.8699155297736259,34.11277777777778,135.00833333333333,303.0,6.4,3.078671416947404e-06,3079,False,False
9.0,2010.0,Summer,1,2.0,-0.0,0.0,,,35.53722222222222,140.0225,100.0,2.9,0.4778553138512997,129,False,True
,2010.0,Summer,19,500.0,1.7291351809463569,0.7161919999999999,2.896401464892045,0.5872545477019424,,,,6.042640449438203,,regional_mean,False,False
,2010.0,Summer,48,474.0,3.050332451135674,0.8861115561964785,7.628375015802798,0.7879550667972928,,,,6.042640449438203,,regional_mean,False,False
,2010.0,Summer,29,3756.0,0.7679472460242923,0.2505520453748973,3.4017283869563464,0.2280605223887849,,,,6.042640449438203,,regional_mean,False,False
,2010.0,Summer,45,1848.0,2.6797575787295904,0.9005242592904931,5.849617564583027,0.7039651101012838,,,,6.042640449438203,,regional_mean,False,False
,2010.0,Summer,56,872.0,3.3141926346366155,0.9411876104704991,8.12312960225646,0.8233299570481368,,,,6.042640449438203,,regional_mean,False,False
,2010.0,Summer,107,2712.0,3.948842385856568,0.97138577805623,13.408485535099755,0.8450646333831083,,,,6.042640449438203,,regional_mean,False,False
,2010.0,Summer,61,6132.0,2.851084824783704,0.8545172650908115,6.879727043258645,0.6935471432561338,,,,6.042640449438203,,regional_mean,False,False
,2010.0,Summer,32,1179.0,2.435218247505801,0.8737411342543133,4.383222669117715,0.7026554578317863,,,,6.042640449438203,,regional_mean,False,False
,2010.0,Summer,59,4455.0,2.998675432810197,0.9154042986291396,6.903297140241844,0.7354133405425896,,,,6.042640449438203,,regional_mean,False,False
,2010.0,Summer,9,138.0,1.606541020936114,0.7242176013442554,1.623622510872354,0.731168328220589,,,,6.042640449438203,,regional_mean,False,False
,2010.0,Summer,14,486.0,1.4298556818664234,0.5887313925722706,2.10144868858356,0.5418054643302799,,,,6.042640449438203,,regional_mean,False,False
,2010.0,Summer,41,858.0,3.046471766212848,0.9347808368787388,5.921886673274045,0.8203615579531507,,,,6.042640449438203,,regional_mean,False,False
,2010.0,Summer,51,476.0,3.218791248383969,0.91533083821764,8.10975041467534,0.8186505580497215,,,,6.042640449438203,,regional_mean,False,False
,2010.0,Summer,22,166.0,2.534334787119359,0.8901146755697489,4.107991033904896,0.8198964670853638,,,,6.042640449438203,,regional_mean,False,False
,2010.0,Summer,17,312.0,2.249988811879768,0.8251150558842866,2.7859988018050847,0.7941473297801621,,,,6.042640449438203,,regional_mean,False,False
10.0,2011.0,Summer,27,67.0,2.738863855682357,0.8892849186901314,6.183567350463303,0.8310071059441688,34.93333333333333,136.805,201.0,7.8,0.4636454643681527,2310,False,False
11.0,2011.0,Summer,23,465.0,1.954589515985424,0.7569060006937218,3.581873334080772,0.623375258055201,34.88638888888889,136.66666666666666,201.0,5.4,0.46373887583859613,2411,False,False
12.0,2011.0,Summer,2,13.0,0.2711893730418441,0.1420118343195264,0.3898712452512801,0.3912435636292556,35.608333333333334,139.8983333333333,100.0,10.8,0.47768825343837323,1212,False,False
143.0,2011.0,Summer,8,65.0,1.8392967479776603,0.7928994082840236,1.67689281022913,0.884514765676856,34.60333333333333,134.61388888888888,305.0,7.6,1.082385399248306e-06,28143,False,False
18.0,2011.0,Summer,2,2.0,0.6931471805599453,0.5,1.4426950408889634,1.0,35.559999999999995,139.82444444444445,100.0,1.5,0.4778031123314523,1318,True,True
181.0,2011.0,Summer,3,41.0,0.9393535230803468,0.5520523497917906,0.538565016128782,0.85503642437785,34.282222222222224,134.3538888888889,306.0,7.0,1.050338266185614e-06,37181,False,False
2.0,2011.0,Summer,28,146.0,2.7370199586082373,0.9063614186526552,5.417763087959105,0.8213841468164652,35.64388888888889,139.9933333333333,100.0,9.9,0.47760326398872804,122,False,False
23.0,2011.0,Summer,1,5.0,-0.0,0.0,,,34.656666666666666,135.275,301.0,2.0,1.0330380410700952,2823,True,True
254.0,2011.0,Summer,17,346.0,2.0561021694387698,0.800778509138294,2.7367087239944667,0.7257138519950346,34.11138888888889,133.6275,310.0,7.8,1.2354992871652025e-07,37254,False,False
26.0,2011.0,Summer,15,69.0,2.2269697193401137,0.8594833018273472,3.306482721868059,0.8223517121040479,35.46416666666667,139.85611111111112,100.0,3.8,0.47802883737174107,1326,False,True
27.0,2011.0,Summer,2,3.0,0.6365141682948128,0.4444444444444444,0.9102392266268372,0.9182958340544894,34.666666666666664,136.60027777777776,201.0,4.3,0.44935052538878156,2427,False,False
274.0,2011.0,Summer,4,89.0,1.1669040639747552,0.6203762151243529,0.6683544294720906,0.8417433531447785,34.05333333333333,133.5,310.0,3.3,0.4363776020606364,38274,False,True
313.0,2011.0,Summer,13,1141.0,1.0735786710918391,0.4313666149210259,1.704627695601125,0.4185574533737897,34.38666666666666,133.24749999999997,309.0,7.7,0.8064028823357108,34312,False,False
328.0,2011.0,Summer,7,540.0,1.4189037500152293,0.6882030178326475,0.9536571667431776,0.7291722851150495,34.0,133.17499999999998,310.0,7.6,0.43645341499102913,38328,False,False
35.0,2011.0,Summer,43,165.0,3.149554110964471,0.9298071625344352,8.225704762161312,0.8373800952049837,35.34805555555556,139.80583333333334,100.0,6.4,0.6980006225924529,1235,False,False
396.0,2011.0,Summer,6,70.0,1.7478680974667573,0.8163265306122449,1.176887277761934,0.9755037590061084,34.333333333333336,132.45583333333332,312.0,4.0,3.083075573419973e-06,34396,False,True
4.0,2011.0,Summer,10,154.0,1.0703721374949553,0.5468038455051442,1.7867946574854288,0.4648567128970478,35.60166666666667,140.06416666666667,100.0,1.7,0.4777057070374204,124,True,True
410.0,2011.0,Summer,4,70.0,1.351783994289646,0.7346938775510204,0.7061323666571605,0.9751060324573736,34.30305555555555,132.35305555555556,312.0,5.6,1.4739665288236428,34411,False,False
